fileName,buggy_line,rank,rEFail,rEPass,num_failed_cetest,num_passed_cetest,num_failed_stetest,num_passed_stetest,num_failed_test,failed_tests_coverage_length,num_passed_test_execute_buggy_line,num_failed_test_execute_buggy_line,type_refail,type_repass,bug_id
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,273,6,0,0.215384615384615,0,14,0,0,1,241,0,1,rEFail=0,0<rEPass<1,math40
org/apache/commons/math3/optimization/SimplePointChecker.java,134,6,0,0.357142857142857,0,5,0,0,1,30,0,1,rEFail=0,0<rEPass<1,math41
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,213,14,0.1,0.232142857142857,1,13,0,0,10,490,0,10,0<rEFail<1,0<rEPass<1,math42
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,134,5.5,0,0.197183098591549,0,2,0,12,11,434,0,11,rEFail=0,0<rEPass<1,math43
org/apache/commons/math3/fitting/leastsquares/AbstractLeastSquaresOptimizer.java,228,85,0,0,0,0,0,0,18,843,0,18,rEFail=0,rEPass=0,math44
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,320,7,0,0.5,0,6,0,0,4,49,0,4,rEFail=0,0<rEPass<1,math45
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,223,10,0,0.245614035087719,0,14,0,0,9,481,1,9,rEFail=0,0<rEPass<1,math46
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunction.java,141,3,1,0.0769230769230769,2,3,0,0,2,61,0,2,rEFail=1,0<rEPass<1,math47
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,80,18.5,1,0.0344827586206897,0,1,2,1,2,207,12,2,rEFail=1,0<rEPass<1,math48
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,288,15.5,0,0.208333333333333,0,5,0,0,4,194,1,4,rEFail=0,0<rEPass<1,math49
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,293,4.5,0,0.184210526315789,0,2,0,12,6,371,0,6,rEFail=0,0<rEPass<1,math50
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,305,6.5,0.0689655172413793,0.209302325581395,2,9,0,0,29,2362,35,29,0<rEFail<1,0<rEPass<1,math51
org/apache/commons/math3/stat/correlation/StorelessBivariateCovariance.java,108,57.5,0,0.1,0,1,0,3,1,135,0,1,rEFail=0,0<rEPass<1,math52
org/apache/commons/math3/stat/correlation/StorelessBivariateCovariance.java,87,7,0,0.115384615384615,0,1,0,3,5,258,1,5,rEFail=0,0<rEPass<1,math53
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,207,7,0.1,0.232142857142857,1,13,0,0,10,358,0,10,0<rEFail<1,0<rEPass<1,math54
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,313,3.5,0.0677966101694915,0.538461538461538,4,7,0,0,59,407,0,59,0<rEFail<1,0<rEPass<1,math55
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunction.java,118,4.5,1,0.0526315789473684,3,2,0,0,3,20,0,3,rEFail=1,0<rEPass<1,math56
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,313,862.5,0,0.166666666666667,0,11,0,0,6,2216,53,6,rEFail=0,0<rEPass<1,math57
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,306,115,0,0.4,0,6,0,0,1,284,0,1,rEFail=0,0<rEPass<1,math58
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,214,15.5,0,0.245614035087719,0,14,0,0,9,474,1,9,rEFail=0,0<rEPass<1,math59
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,168,33,0,0.125,0,1,0,3,7,414,0,7,rEFail=0,0<rEPass<1,math60
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,229,32.5,0,0.215384615384615,0,14,0,0,1,496,2,1,rEFail=0,0<rEPass<1,math61
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,311,84.5,0.333333333333333,0.16,1,4,0,0,3,1027,2,3,0<rEFail<1,0<rEPass<1,math62
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,271,5,0,0.215384615384615,0,14,0,0,1,243,0,1,rEFail=0,0<rEPass<1,math63
org/apache/commons/math3/optimization/SimplePointChecker.java,137,6,0,0.357142857142857,0,5,0,0,1,30,0,1,rEFail=0,0<rEPass<1,math64
org/apache/commons/math3/primes/Primes.java,61,2.5,0,0,0,0,0,0,2,20,0,2,rEFail=0,rEPass=0,math65
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,273,6,0,0.215384615384615,0,14,0,0,1,241,0,1,rEFail=0,0<rEPass<1,math66
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,290,423,0.0983606557377049,0.454545454545455,6,5,0,0,61,2481,5,2,0<rEFail<1,0<rEPass<1,math67
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,249,3.5,0,0.185185185185185,0,5,0,0,1,136,0,1,rEFail=0,0<rEPass<1,math68
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,297,23.5,0,0.4,0,6,0,0,1,66,0,1,rEFail=0,0<rEPass<1,math69
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunction.java,169,2.5,1,0.1,1,4,0,0,1,40,0,1,rEFail=1,0<rEPass<1,math70
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,317,219.5,0,0.192307692307692,0,5,0,0,2,1032,3,2,rEFail=0,0<rEPass<1,math71
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,122,1,0,0.202898550724638,0,2,0,12,13,480,0,13,rEFail=0,0<rEPass<1,math72
org/apache/commons/math3/optimization/SimplePointChecker.java,128,1,0,0.384615384615385,0,5,0,0,2,13,0,2,rEFail=0,0<rEPass<1,math73
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,153,13,0.217391304347826,0.111111111111111,0,2,10,2,46,134,0,46,0<rEFail<1,0<rEPass<1,math74
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,310,115,0,0.4,0,6,0,0,1,287,0,1,rEFail=0,0<rEPass<1,math75
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,337,96,0,0.4,0,6,0,0,1,231,0,1,rEFail=0,0<rEPass<1,math76
org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,182,12,0,0.404255319148936,0,19,0,0,2,332,0,2,rEFail=0,0<rEPass<1,math77
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,408,18,0,0.4,0,6,0,0,1,56,0,1,rEFail=0,0<rEPass<1,math78
org/apache/commons/math3/ml/distance/CanberraDistance.java,38,3.5,0,0,0,0,0,0,2,8,1,2,rEFail=0,rEPass=0,math79
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,162,6.5,0,0,0,0,0,0,4,100,0,4,rEFail=0,rEPass=0,math80
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionPenaltyAdapter.java,165,18.5,0,0,0,0,0,0,5,279,0,5,rEFail=0,rEPass=0,math81
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,329,92.5,0,0.4,0,6,0,0,1,224,0,1,rEFail=0,0<rEPass<1,math82
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,213,8.5,0.1,0.232142857142857,1,13,0,0,10,361,0,10,0<rEFail<1,0<rEPass<1,math83
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,173,95,0,0.12,0,1,0,3,6,652,1,6,rEFail=0,0<rEPass<1,math84
org/apache/commons/math3/stat/inference/WilcoxonSignedRankTest.java,211,4,0,0.395833333333333,0,19,0,0,1,76,0,1,rEFail=0,0<rEPass<1,math85
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,384,3.5,0,0.428571428571429,0,6,0,0,2,132,0,2,rEFail=0,0<rEPass<1,math86
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,146,8.5,0,0,0,0,0,0,4,270,0,4,rEFail=0,rEPass=0,math87
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,372,25.5,0,0.4,0,6,0,0,1,121,2,1,rEFail=0,0<rEPass<1,math88
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunction.java,141,2.5,1,0.0769230769230769,2,3,0,0,2,60,0,2,rEFail=1,0<rEPass<1,math89
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,173,133.5,0,0.111111111111111,0,1,0,3,4,650,3,4,rEFail=0,0<rEPass<1,math90
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,335,113,0,0.4,0,6,0,0,1,280,0,1,rEFail=0,0<rEPass<1,math91
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,276,11,0.1875,0.125,6,5,0,0,32,2289,37,32,0<rEFail<1,0<rEPass<1,math92
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,394,112,0,0.4,0,6,0,0,1,278,0,1,rEFail=0,0<rEPass<1,math93
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,336,99.5,0,0.4,0,6,0,0,1,240,0,1,rEFail=0,0<rEPass<1,math94
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,297,15.5,0,0.4,0,6,0,0,1,51,0,1,rEFail=0,0<rEPass<1,math95
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionPenaltyAdapter.java,164,14.5,0,0,0,0,0,0,4,177,1,4,rEFail=0,rEPass=0,math96
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,126,6,0,0.191780821917808,0,2,0,12,9,293,2,9,rEFail=0,0<rEPass<1,math97
org/apache/commons/math3/ml/distance/CanberraDistance.java,35,3,0,0,0,0,0,0,3,7,0,3,rEFail=0,rEPass=0,math98
org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,90,1.5,0,0.404255319148936,0,19,0,0,2,5,0,2,rEFail=0,0<rEPass<1,math99
org/apache/commons/math3/optimization/SimplePointChecker.java,102,2,1,0.285714285714286,1,4,0,0,1,5,1,1,rEFail=1,0<rEPass<1,math100
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,321,40.5,0,0.4,0,6,0,0,1,96,3,1,rEFail=0,0<rEPass<1,math101
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,200,6,0.1,0.232142857142857,1,13,0,0,10,398,0,10,0<rEFail<1,0<rEPass<1,math102
org/apache/commons/math3/stat/inference/WilcoxonSignedRankTest.java,130,7.5,0.5,0.382978723404255,1,18,0,0,2,17,0,2,0<rEFail<1,0<rEPass<1,math103
org/apache/commons/math3/optimization/direct/SimplexOptimizer.java,196,26.5,0,0.234042553191489,0,11,0,0,25,692,1,25,rEFail=0,0<rEPass<1,math104
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,347,118.5,0,0.222222222222222,0,14,0,0,3,575,1,3,rEFail=0,0<rEPass<1,math105
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,348,108,0,0.4,0,6,0,0,1,269,0,1,rEFail=0,0<rEPass<1,math106
org/apache/commons/math3/fitting/leastsquares/AbstractLeastSquaresOptimizer.java,115,12,0,0,0,0,0,0,18,84,0,18,rEFail=0,rEPass=0,math107
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,235,12,0,0.111111111111111,0,1,0,3,4,323,11,4,rEFail=0,0<rEPass<1,math108
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,232,26,0,0.245614035087719,0,14,0,0,9,480,1,9,rEFail=0,0<rEPass<1,math109
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,116,5.5,0,0,0,0,0,0,4,26,0,4,rEFail=0,rEPass=0,math110
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,352,100,0,0.4,0,6,0,0,1,241,0,1,rEFail=0,0<rEPass<1,math111
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,226,27,0,0.241379310344828,0,14,0,0,8,490,2,8,rEFail=0,0<rEPass<1,math112
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,226,11.5,0.1,0.232142857142857,1,13,0,0,10,420,0,10,0<rEFail<1,0<rEPass<1,math113
org/apache/commons/math3/ml/distance/CanberraDistance.java,38,3.5,0,0,0,0,0,0,1,8,2,1,rEFail=0,rEPass=0,math114
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,129,5.5,0,0.197183098591549,0,2,0,12,11,434,0,11,rEFail=0,0<rEPass<1,math115
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,218,108,0,0.225806451612903,0,14,0,0,4,545,0,4,rEFail=0,0<rEPass<1,math116
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,146,1.5,0.5,0.333333333333333,2,4,0,0,4,56,0,4,0<rEFail<1,0<rEPass<1,math117
org/apache/commons/math3/optimization/direct/SimplexOptimizer.java,230,26.5,0.04,0.212765957446808,1,10,0,0,25,547,1,25,0<rEFail<1,0<rEPass<1,math118
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,536,127.5,0,0.4,0,6,0,0,1,189,3,1,rEFail=0,0<rEPass<1,math119
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,330,7.5,0,0.185185185185185,0,5,0,0,1,721,0,1,rEFail=0,0<rEPass<1,math120
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,247,6,0,0.185185185185185,0,5,0,0,1,1015,0,1,rEFail=0,0<rEPass<1,math121
org/apache/commons/math3/primes/Primes.java,60,3,0,0,0,0,0,0,2,19,0,2,rEFail=0,rEPass=0,math122
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,279,1,0.333333333333333,0.116666666666667,4,7,0,0,12,2560,2,12,0<rEFail<1,0<rEPass<1,math123
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,278,1207,0.0833333333333333,0.5,5,6,0,0,60,1307,9,1,0<rEFail<1,0<rEPass<1,math124
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,279,45,0,0.107142857142857,0,1,0,3,3,225,11,3,rEFail=0,0<rEPass<1,math125
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,200,14,0,0.245614035087719,0,14,0,0,9,492,1,9,rEFail=0,0<rEPass<1,math126
org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,148,7,0,0.404255319148936,0,19,0,0,2,111,0,2,rEFail=0,0<rEPass<1,math127
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,556,90.5,0,0.4,0,6,0,0,1,192,2,1,rEFail=0,0<rEPass<1,math128
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,379,92.5,0,0.2,0,5,0,0,3,1035,1,3,rEFail=0,0<rEPass<1,math129
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,244,25,0,0.241379310344828,0,14,0,0,8,448,2,8,rEFail=0,0<rEPass<1,math130
org/apache/commons/math3/stat/inference/WilcoxonSignedRankTest.java,321,16.5,0,0.395833333333333,0,19,0,0,1,365,0,1,rEFail=0,0<rEPass<1,math131
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,310,115,0,0.4,0,6,0,0,1,287,0,1,rEFail=0,0<rEPass<1,math132
org/apache/commons/math3/optimization/SimpleValueChecker.java,132,5,0,0.416666666666667,0,5,0,0,3,747,0,3,rEFail=0,0<rEPass<1,math133
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,134,5.5,0,0.197183098591549,0,2,0,12,11,434,0,11,rEFail=0,0<rEPass<1,math134
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,141,14.5,0,0.103448275862069,0,1,0,3,2,786,0,2,rEFail=0,0<rEPass<1,math135
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,367,11.5,0,0.208333333333333,0,5,0,0,4,234,0,4,rEFail=0,0<rEPass<1,math136
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,226,11.5,0.1,0.232142857142857,1,13,0,0,10,420,0,10,0<rEFail<1,0<rEPass<1,math137
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,250,27,0,0.215384615384615,0,14,0,0,1,504,1,1,rEFail=0,0<rEPass<1,math138
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,335,9.5,0,0.185185185185185,0,5,0,0,1,725,0,1,rEFail=0,0<rEPass<1,math139
org/apache/commons/math3/fitting/leastsquares/AbstractLeastSquaresOptimizer.java,203,174,0,0,0,0,0,0,2,670,0,2,rEFail=0,rEPass=0,math140
org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateOptimizer.java,282,5,1,0.140845070422535,1,10,0,0,1,1101,11,1,rEFail=1,0<rEPass<1,math141
org/apache/commons/math3/stat/correlation/StorelessBivariateCovariance.java,104,57.5,0,0.1,0,1,0,3,1,135,0,1,rEFail=0,0<rEPass<1,math142
org/apache/commons/math3/optimization/SimplePointChecker.java,139,6,0,0.357142857142857,0,5,0,0,1,25,0,1,rEFail=0,0<rEPass<1,math143
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,192,5,0,0.136363636363636,0,1,0,3,9,506,3,9,rEFail=0,0<rEPass<1,math144
org/apache/commons/math3/optim/PointValuePair.java,58,2,0,0.333333333333333,0,3,0,0,2,15,1,2,rEFail=0,0<rEPass<1,math145
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,341,1,0.25,0.166666666666667,1,4,0,0,4,255,0,4,0<rEFail<1,0<rEPass<1,math146
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,283,89,0,0.225806451612903,0,14,0,0,4,457,0,4,rEFail=0,0<rEPass<1,math147
org/apache/commons/math3/geometry/euclidean/oned/SubOrientedPoint.java,59,47,0,0,0,0,0,0,1,181,0,1,rEFail=0,rEPass=0,math148
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,271,7,0,0.215384615384615,0,14,0,0,1,251,0,1,rEFail=0,0<rEPass<1,math149
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,235,11,0.217391304347826,0.111111111111111,0,2,10,2,46,130,0,46,0<rEFail<1,0<rEPass<1,math150
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,257,6.5,0,0.241379310344828,0,14,0,0,8,491,1,8,rEFail=0,0<rEPass<1,math151
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,378,57.5,0,0.192307692307692,0,5,0,0,2,1007,2,2,rEFail=0,0<rEPass<1,math152
org/apache/commons/math3/optimization/SimpleValueChecker.java,126,2.5,0,0.357142857142857,0,5,0,0,1,6,3,1,rEFail=0,0<rEPass<1,math153
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,274,7,0,0.215384615384615,0,14,0,0,1,254,0,1,rEFail=0,0<rEPass<1,math154
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,150,12.5,0.217391304347826,0.111111111111111,0,2,10,2,46,133,0,46,0<rEFail<1,0<rEPass<1,math155
org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,187,12,0,0.395833333333333,0,19,0,0,1,292,1,1,rEFail=0,0<rEPass<1,math156
org/apache/commons/math3/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,162,23,0,0,0,0,0,0,4,95,0,4,rEFail=0,rEPass=0,math157
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,119,5.5,0,0.197183098591549,0,2,0,12,11,463,4,11,rEFail=0,0<rEPass<1,math158
org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,323,5,0,0.185185185185185,0,5,0,0,1,113,0,1,rEFail=0,0<rEPass<1,math159
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,308,105.5,0,0.4,0,6,0,0,1,252,0,1,rEFail=0,0<rEPass<1,math160
org/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer.java,348,106.5,0,0.4,0,6,0,0,1,255,0,1,rEFail=0,0<rEPass<1,math161
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,231,2.5,0,0.215384615384615,0,14,0,0,1,375,0,1,rEFail=0,0<rEPass<1,math162
org/apache/commons/math3/fitting/leastsquares/AbstractLeastSquaresOptimizer.java,297,21,0,0,0,0,0,0,19,478,0,19,rEFail=0,rEPass=0,math163
